,0
0,0.8995663046026412
1,0.854419004454169
2,0.8301652731108854
3,0.893578573103071
4,0.8339552238805971
5,0.8786629678830976
6,0.8210322731890287
7,0.8875713057747909
8,0.8716203016331953
9,0.8801574587794014
10,0.8651930139876534
